BAG:iron8s add 1xPhóng lợn lydo: Mua từ cửa hàng at 04/08/2023 3:19 AM
BAG:iron8s add 61xĐá lục bảo (old: 60) lydo: Nhặt từ map at 04/08/2023 5:03 PM
BAG:iron8s add 37xĐá Titan (old: 36) lydo: Nhặt từ map at 04/08/2023 5:20 PM
BAG:iron8s add 17xMảnh hồn bông tai (old: 16) lydo: Nhặt từ map at 04/08/2023 5:20 PM
BAG:iron8s add 18xMảnh hồn bông tai (old: 17) lydo: Nhặt từ map at 04/08/2023 5:20 PM
BAG:iron8s add 19xMảnh hồn bông tai (old: 18) lydo: Nhặt từ map at 04/08/2023 5:20 PM
BAG:iron8s add 20xMảnh hồn bông tai (old: 19) lydo: Nhặt từ map at 04/08/2023 5:20 PM
BAG:iron8s add 21xMảnh hồn bông tai (old: 20) lydo: Nhặt từ map at 04/08/2023 5:20 PM
BAG:iron8s add 20xNgọc Rồng 6 sao (old: 19) lydo: Nhặt từ map at 04/08/2023 5:21 PM
BAG:iron8s add 22xMảnh hồn bông tai (old: 21) lydo: Nhặt từ map at 04/08/2023 5:21 PM
BAG:iron8s add 23xMảnh hồn bông tai (old: 22) lydo: Nhặt từ map at 04/08/2023 5:21 PM
BAG:iron8s add 24xMảnh hồn bông tai (old: 23) lydo: Nhặt từ map at 04/08/2023 5:21 PM
BAG:iron8s add 25xMảnh hồn bông tai (old: 24) lydo: Nhặt từ map at 04/08/2023 5:21 PM
BAG:iron8s add 26xMảnh hồn bông tai (old: 25) lydo: Nhặt từ map at 04/08/2023 5:21 PM
BAG:iron8s add 27xMảnh hồn bông tai (old: 26) lydo: Nhặt từ map at 04/08/2023 5:21 PM
BAG:iron8s add 28xMảnh hồn bông tai (old: 27) lydo: Nhặt từ map at 04/08/2023 5:21 PM
BAG:iron8s add 29xMảnh hồn bông tai (old: 28) lydo: Nhặt từ map at 04/08/2023 5:21 PM
BAG:iron8s add 30xMảnh hồn bông tai (old: 29) lydo: Nhặt từ map at 04/08/2023 5:21 PM
BAG:iron8s add 31xMảnh hồn bông tai (old: 30) lydo: Nhặt từ map at 04/08/2023 5:21 PM
BAG:iron8s add 32xMảnh hồn bông tai (old: 31) lydo: Nhặt từ map at 04/08/2023 5:21 PM
BAG:iron8s add 33xMảnh hồn bông tai (old: 32) lydo: Nhặt từ map at 04/08/2023 5:21 PM
BAG:iron8s add 34xMảnh hồn bông tai (old: 33) lydo: Nhặt từ map at 04/08/2023 5:21 PM
BAG:iron8s add 35xMảnh hồn bông tai (old: 34) lydo: Nhặt từ map at 04/08/2023 5:21 PM
BAG:iron8s add 36xMảnh hồn bông tai (old: 35) lydo: Nhặt từ map at 04/08/2023 5:21 PM
BAG:iron8s add 37xMảnh hồn bông tai (old: 36) lydo: Nhặt từ map at 04/08/2023 5:21 PM
BAG:iron8s add 38xMảnh hồn bông tai (old: 37) lydo: Nhặt từ map at 04/08/2023 5:21 PM
BAG:iron8s add 39xMảnh hồn bông tai (old: 38) lydo: Nhặt từ map at 04/08/2023 5:21 PM
BAG:iron8s add 40xMảnh hồn bông tai (old: 39) lydo: Nhặt từ map at 04/08/2023 5:21 PM
BAG:iron8s add 11xNgọc Rồng 4 sao (old: 10) lydo: Nhặt từ map at 04/08/2023 5:21 PM
BAG:iron8s add 41xMảnh hồn bông tai (old: 40) lydo: Nhặt từ map at 04/08/2023 5:21 PM
BAG:iron8s add 42xMảnh hồn bông tai (old: 41) lydo: Nhặt từ map at 04/08/2023 5:21 PM
BAG:iron8s add 43xMảnh hồn bông tai (old: 42) lydo: Nhặt từ map at 04/08/2023 5:22 PM
BAG:iron8s add 44xMảnh hồn bông tai (old: 43) lydo: Nhặt từ map at 04/08/2023 5:22 PM
BAG:iron8s add 45xMảnh hồn bông tai (old: 44) lydo: Nhặt từ map at 04/08/2023 5:22 PM
BAG:iron8s add 46xMảnh hồn bông tai (old: 45) lydo: Nhặt từ map at 04/08/2023 5:22 PM
BAG:iron8s add 39xĐá thạch anh tím (old: 38) lydo: Nhặt từ map at 04/08/2023 5:22 PM
BAG:iron8s add 47xMảnh hồn bông tai (old: 46) lydo: Nhặt từ map at 04/08/2023 5:22 PM
BAG:iron8s add 48xMảnh hồn bông tai (old: 47) lydo: Nhặt từ map at 04/08/2023 5:22 PM
BAG:iron8s add 49xMảnh hồn bông tai (old: 48) lydo: Nhặt từ map at 04/08/2023 5:22 PM
BAG:iron8s add 50xMảnh hồn bông tai (old: 49) lydo: Nhặt từ map at 04/08/2023 5:22 PM
BAG:iron8s add 38xĐá Titan (old: 37) lydo: Nhặt từ map at 04/08/2023 5:22 PM
BAG:iron8s add 40xĐá thạch anh tím (old: 39) lydo: Nhặt từ map at 04/08/2023 5:22 PM
BAG:iron8s add 39xĐá Titan (old: 38) lydo: Nhặt từ map at 04/08/2023 5:22 PM
BAG:iron8s add 19xĐá Ruby (old: 18) lydo: Nhặt từ map at 04/08/2023 5:22 PM
BAG:iron8s add 51xMảnh hồn bông tai (old: 50) lydo: Nhặt từ map at 04/08/2023 5:22 PM
BAG:iron8s add 52xMảnh hồn bông tai (old: 51) lydo: Nhặt từ map at 04/08/2023 5:22 PM
BAG:iron8s add 53xMảnh hồn bông tai (old: 52) lydo: Nhặt từ map at 04/08/2023 5:22 PM
BAG:iron8s add 54xMảnh hồn bông tai (old: 53) lydo: Nhặt từ map at 04/08/2023 5:22 PM
BAG:iron8s add 55xMảnh hồn bông tai (old: 54) lydo: Nhặt từ map at 04/08/2023 5:22 PM
BAG:iron8s add 56xMảnh hồn bông tai (old: 55) lydo: Nhặt từ map at 04/08/2023 5:22 PM
BAG:iron8s add 57xMảnh hồn bông tai (old: 56) lydo: Nhặt từ map at 04/08/2023 5:23 PM
BAG:iron8s add 58xMảnh hồn bông tai (old: 57) lydo: Nhặt từ map at 04/08/2023 5:23 PM
BAG:iron8s add 59xMảnh hồn bông tai (old: 58) lydo: Nhặt từ map at 04/08/2023 5:23 PM
BAG:iron8s add 60xMảnh hồn bông tai (old: 59) lydo: Nhặt từ map at 04/08/2023 5:24 PM
BAG:iron8s add 61xMảnh hồn bông tai (old: 60) lydo: Nhặt từ map at 04/08/2023 5:24 PM
BAG:iron8s add 62xMảnh hồn bông tai (old: 61) lydo: Nhặt từ map at 04/08/2023 5:25 PM
BAG:iron8s add 63xMảnh hồn bông tai (old: 62) lydo: Nhặt từ map at 04/08/2023 5:25 PM
BAG:iron8s add 64xMảnh hồn bông tai (old: 63) lydo: Nhặt từ map at 04/08/2023 5:25 PM
BAG:iron8s add 65xMảnh hồn bông tai (old: 64) lydo: Nhặt từ map at 04/08/2023 5:25 PM
BAG:iron8s add 66xMảnh hồn bông tai (old: 65) lydo: Nhặt từ map at 04/08/2023 5:25 PM
BAG:iron8s add 67xMảnh hồn bông tai (old: 66) lydo: Nhặt từ map at 04/08/2023 5:25 PM
BAG:iron8s add 68xMảnh hồn bông tai (old: 67) lydo: Nhặt từ map at 04/08/2023 5:25 PM
BAG:iron8s add 69xMảnh hồn bông tai (old: 68) lydo: Nhặt từ map at 04/08/2023 5:25 PM
BAG:iron8s add 70xMảnh hồn bông tai (old: 69) lydo: Nhặt từ map at 04/08/2023 5:25 PM
BAG:iron8s add 71xMảnh hồn bông tai (old: 70) lydo: Nhặt từ map at 04/08/2023 5:25 PM
BAG:iron8s add 40xĐá Titan (old: 39) lydo: Nhặt từ map at 04/08/2023 5:25 PM
BAG:iron8s add 72xMảnh hồn bông tai (old: 71) lydo: Nhặt từ map at 04/08/2023 5:25 PM
BAG:iron8s add 73xMảnh hồn bông tai (old: 72) lydo: Nhặt từ map at 04/08/2023 5:25 PM
BAG:iron8s add 72xĐá lục bảo (old: 71) lydo: Nhặt từ map at 04/08/2023 5:25 PM
BAG:iron8s add 74xMảnh hồn bông tai (old: 73) lydo: Nhặt từ map at 04/08/2023 5:25 PM
BAG:iron8s add 75xMảnh hồn bông tai (old: 74) lydo: Nhặt từ map at 04/08/2023 5:25 PM
BAG:iron8s add 76xMảnh hồn bông tai (old: 75) lydo: Nhặt từ map at 04/08/2023 5:25 PM
BAG:iron8s add 77xMảnh hồn bông tai (old: 76) lydo: Nhặt từ map at 04/08/2023 5:25 PM
BAG:iron8s add 78xMảnh hồn bông tai (old: 77) lydo: Nhặt từ map at 04/08/2023 5:25 PM
BAG:iron8s add 41xĐá thạch anh tím (old: 40) lydo: Nhặt từ map at 04/08/2023 5:25 PM
BAG:iron8s add 79xMảnh hồn bông tai (old: 78) lydo: Nhặt từ map at 04/08/2023 5:25 PM
BAG:iron8s add 80xMảnh hồn bông tai (old: 79) lydo: Nhặt từ map at 04/08/2023 5:25 PM
BAG:iron8s add 81xMảnh hồn bông tai (old: 80) lydo: Nhặt từ map at 04/08/2023 5:25 PM
BAG:iron8s add 82xMảnh hồn bông tai (old: 81) lydo: Nhặt từ map at 04/08/2023 5:26 PM
BAG:iron8s add 83xMảnh hồn bông tai (old: 82) lydo: Nhặt từ map at 04/08/2023 5:26 PM
BAG:iron8s add 84xMảnh hồn bông tai (old: 83) lydo: Nhặt từ map at 04/08/2023 5:26 PM
BAG:iron8s add 85xMảnh hồn bông tai (old: 84) lydo: Nhặt từ map at 04/08/2023 5:26 PM
BAG:iron8s add 86xMảnh hồn bông tai (old: 85) lydo: Nhặt từ map at 04/08/2023 5:26 PM
BAG:iron8s add 87xMảnh hồn bông tai (old: 86) lydo: Nhặt từ map at 04/08/2023 5:26 PM
BAG:iron8s add 88xMảnh hồn bông tai (old: 87) lydo: Nhặt từ map at 04/08/2023 5:26 PM
BAG:iron8s add 89xMảnh hồn bông tai (old: 88) lydo: Nhặt từ map at 04/08/2023 5:26 PM
BAG:iron8s add 90xMảnh hồn bông tai (old: 89) lydo: Nhặt từ map at 04/08/2023 5:26 PM
BAG:iron8s add 91xMảnh hồn bông tai (old: 90) lydo: Nhặt từ map at 04/08/2023 5:26 PM
BAG:iron8s add 92xMảnh hồn bông tai (old: 91) lydo: Nhặt từ map at 04/08/2023 5:26 PM
BAG:iron8s add 93xMảnh hồn bông tai (old: 92) lydo: Nhặt từ map at 04/08/2023 5:26 PM
BAG:iron8s add 94xMảnh hồn bông tai (old: 93) lydo: Nhặt từ map at 04/08/2023 5:26 PM
BAG:iron8s add 95xMảnh hồn bông tai (old: 94) lydo: Nhặt từ map at 04/08/2023 5:26 PM
BAG:iron8s add 96xMảnh hồn bông tai (old: 95) lydo: Nhặt từ map at 04/08/2023 5:26 PM
BAG:iron8s add 97xMảnh hồn bông tai (old: 96) lydo: Nhặt từ map at 04/08/2023 5:26 PM
BAG:iron8s add 98xMảnh hồn bông tai (old: 97) lydo: Nhặt từ map at 04/08/2023 5:26 PM
BAG:iron8s add 99xMảnh hồn bông tai (old: 98) lydo: Nhặt từ map at 04/08/2023 5:27 PM
BAG:iron8s add 1xMảnh hồn bông tai lydo: Nhặt từ map at 04/08/2023 5:27 PM
BAG:iron8s add 2xMảnh hồn bông tai (old: 1) lydo: Nhặt từ map at 04/08/2023 5:27 PM
BAG:iron8s add 42xĐá Saphia (old: 41) lydo: Nhặt từ map at 04/08/2023 5:27 PM
BAG:iron8s add 3xMảnh hồn bông tai (old: 2) lydo: Nhặt từ map at 04/08/2023 5:27 PM
BAG:iron8s add 4xMảnh hồn bông tai (old: 3) lydo: Nhặt từ map at 04/08/2023 5:27 PM
BAG:iron8s add 5xMảnh hồn bông tai (old: 4) lydo: Nhặt từ map at 04/08/2023 5:27 PM
BAG:iron8s add 6xMảnh hồn bông tai (old: 5) lydo: Nhặt từ map at 04/08/2023 5:27 PM
BAG:iron8s add 7xMảnh hồn bông tai (old: 6) lydo: Nhặt từ map at 04/08/2023 5:27 PM
BAG:iron8s add 8xMảnh hồn bông tai (old: 7) lydo: Nhặt từ map at 04/08/2023 5:27 PM
BAG:iron8s add 9xMảnh hồn bông tai (old: 8) lydo: Nhặt từ map at 04/08/2023 5:27 PM
BAG:iron8s add 10xMảnh hồn bông tai (old: 9) lydo: Nhặt từ map at 04/08/2023 5:27 PM
BAG:iron8s add 11xMảnh hồn bông tai (old: 10) lydo: Nhặt từ map at 04/08/2023 5:27 PM
BAG:iron8s add 12xMảnh hồn bông tai (old: 11) lydo: Nhặt từ map at 04/08/2023 5:27 PM
BAG:iron8s add 13xMảnh hồn bông tai (old: 12) lydo: Nhặt từ map at 04/08/2023 5:27 PM
BAG:iron8s add 14xMảnh hồn bông tai (old: 13) lydo: Nhặt từ map at 04/08/2023 5:27 PM
BAG:iron8s add 15xMảnh hồn bông tai (old: 14) lydo: Nhặt từ map at 04/08/2023 5:27 PM
BAG:iron8s add 16xMảnh hồn bông tai (old: 15) lydo: Nhặt từ map at 04/08/2023 5:27 PM
BAG:iron8s add 17xMảnh hồn bông tai (old: 16) lydo: Nhặt từ map at 04/08/2023 5:28 PM
BAG:iron8s add 18xMảnh hồn bông tai (old: 17) lydo: Nhặt từ map at 04/08/2023 5:28 PM
BAG:iron8s add 19xMảnh hồn bông tai (old: 18) lydo: Nhặt từ map at 04/08/2023 5:28 PM
BAG:iron8s add 20xMảnh hồn bông tai (old: 19) lydo: Nhặt từ map at 04/08/2023 5:28 PM
BAG:iron8s add 21xMảnh hồn bông tai (old: 20) lydo: Nhặt từ map at 04/08/2023 5:28 PM
BAG:iron8s add 20xĐá Ruby (old: 19) lydo: Nhặt từ map at 04/08/2023 5:28 PM
BAG:iron8s add 22xMảnh hồn bông tai (old: 21) lydo: Nhặt từ map at 04/08/2023 5:28 PM
BAG:iron8s add 23xMảnh hồn bông tai (old: 22) lydo: Nhặt từ map at 04/08/2023 5:28 PM
BAG:iron8s add 24xMảnh hồn bông tai (old: 23) lydo: Nhặt từ map at 04/08/2023 5:28 PM
BAG:iron8s add 25xMảnh hồn bông tai (old: 24) lydo: Nhặt từ map at 04/08/2023 5:28 PM
BAG:iron8s add 26xMảnh hồn bông tai (old: 25) lydo: Nhặt từ map at 04/08/2023 5:28 PM
BAG:iron8s add 27xMảnh hồn bông tai (old: 26) lydo: Nhặt từ map at 04/08/2023 5:28 PM
BAG:iron8s add 28xMảnh hồn bông tai (old: 27) lydo: Nhặt từ map at 04/08/2023 5:28 PM
BAG:iron8s add 29xMảnh hồn bông tai (old: 28) lydo: Nhặt từ map at 04/08/2023 5:28 PM
BAG:iron8s add 30xMảnh hồn bông tai (old: 29) lydo: Nhặt từ map at 04/08/2023 5:28 PM
BAG:iron8s add 31xMảnh hồn bông tai (old: 30) lydo: Nhặt từ map at 04/08/2023 5:28 PM
BAG:iron8s add 21xĐá Ruby (old: 20) lydo: Nhặt từ map at 04/08/2023 5:29 PM
BAG:iron8s add 32xMảnh hồn bông tai (old: 31) lydo: Nhặt từ map at 04/08/2023 5:29 PM
BAG:iron8s add 33xMảnh hồn bông tai (old: 32) lydo: Nhặt từ map at 04/08/2023 5:29 PM
BAG:iron8s add 34xMảnh hồn bông tai (old: 33) lydo: Nhặt từ map at 04/08/2023 5:29 PM
BAG:iron8s add 35xMảnh hồn bông tai (old: 34) lydo: Nhặt từ map at 04/08/2023 5:29 PM
BAG:iron8s add 36xMảnh hồn bông tai (old: 35) lydo: Nhặt từ map at 04/08/2023 5:29 PM
BAG:iron8s add 37xMảnh hồn bông tai (old: 36) lydo: Nhặt từ map at 04/08/2023 5:29 PM
BAG:iron8s add 38xMảnh hồn bông tai (old: 37) lydo: Nhặt từ map at 04/08/2023 5:29 PM
BAG:iron8s add 39xMảnh hồn bông tai (old: 38) lydo: Nhặt từ map at 04/08/2023 5:29 PM
BAG:iron8s add 42xĐá thạch anh tím (old: 41) lydo: Nhặt từ map at 04/08/2023 5:29 PM
BAG:iron8s add 40xMảnh hồn bông tai (old: 39) lydo: Nhặt từ map at 04/08/2023 5:29 PM
BAG:iron8s add 73xĐá lục bảo (old: 72) lydo: Nhặt từ map at 04/08/2023 5:29 PM
BAG:iron8s add 41xMảnh hồn bông tai (old: 40) lydo: Nhặt từ map at 04/08/2023 5:29 PM
BAG:iron8s add 42xMảnh hồn bông tai (old: 41) lydo: Nhặt từ map at 04/08/2023 5:29 PM
BAG:iron8s add 43xMảnh hồn bông tai (old: 42) lydo: Nhặt từ map at 04/08/2023 5:29 PM
BAG:iron8s add 44xMảnh hồn bông tai (old: 43) lydo: Nhặt từ map at 04/08/2023 5:29 PM
BAG:iron8s add 45xMảnh hồn bông tai (old: 44) lydo: Nhặt từ map at 04/08/2023 5:29 PM
BAG:iron8s add 46xMảnh hồn bông tai (old: 45) lydo: Nhặt từ map at 04/08/2023 5:29 PM
BAG:iron8s add 47xMảnh hồn bông tai (old: 46) lydo: Nhặt từ map at 04/08/2023 5:29 PM
BAG:iron8s add 48xMảnh hồn bông tai (old: 47) lydo: Nhặt từ map at 04/08/2023 5:29 PM
BAG:iron8s add 49xMảnh hồn bông tai (old: 48) lydo: Nhặt từ map at 04/08/2023 5:29 PM
BAG:iron8s add 50xMảnh hồn bông tai (old: 49) lydo: Nhặt từ map at 04/08/2023 5:29 PM
BAG:iron8s add 51xMảnh hồn bông tai (old: 50) lydo: Nhặt từ map at 04/08/2023 5:30 PM
BAG:iron8s add 52xMảnh hồn bông tai (old: 51) lydo: Nhặt từ map at 04/08/2023 5:30 PM
BAG:iron8s add 22xĐá Ruby (old: 21) lydo: Nhặt từ map at 04/08/2023 5:30 PM
BAG:iron8s add 53xMảnh hồn bông tai (old: 52) lydo: Nhặt từ map at 04/08/2023 5:30 PM
BAG:iron8s add 54xMảnh hồn bông tai (old: 53) lydo: Nhặt từ map at 04/08/2023 5:30 PM
BAG:iron8s add 21xNgọc Rồng 6 sao (old: 20) lydo: Nhặt từ map at 04/08/2023 5:30 PM
BAG:iron8s add 55xMảnh hồn bông tai (old: 54) lydo: Nhặt từ map at 04/08/2023 5:30 PM
BAG:iron8s add 56xMảnh hồn bông tai (old: 55) lydo: Nhặt từ map at 04/08/2023 5:30 PM
BAG:iron8s add 57xMảnh hồn bông tai (old: 56) lydo: Nhặt từ map at 04/08/2023 5:30 PM
BAG:iron8s add 58xMảnh hồn bông tai (old: 57) lydo: Nhặt từ map at 04/08/2023 5:30 PM
BAG:iron8s add 43xĐá Saphia (old: 42) lydo: Nhặt từ map at 04/08/2023 5:30 PM
BAG:iron8s add 59xMảnh hồn bông tai (old: 58) lydo: Nhặt từ map at 04/08/2023 5:30 PM
BAG:iron8s add 43xĐá thạch anh tím (old: 42) lydo: Nhặt từ map at 04/08/2023 5:30 PM
BAG:iron8s add 60xMảnh hồn bông tai (old: 59) lydo: Nhặt từ map at 04/08/2023 5:30 PM
BAG:iron8s add 61xMảnh hồn bông tai (old: 60) lydo: Nhặt từ map at 04/08/2023 5:30 PM
BAG:iron8s add 62xMảnh hồn bông tai (old: 61) lydo: Nhặt từ map at 04/08/2023 5:30 PM
BAG:iron8s add 63xMảnh hồn bông tai (old: 62) lydo: Nhặt từ map at 04/08/2023 5:30 PM
BAG:iron8s add 64xMảnh hồn bông tai (old: 63) lydo: Nhặt từ map at 04/08/2023 5:31 PM
BAG:iron8s add 65xMảnh hồn bông tai (old: 64) lydo: Nhặt từ map at 04/08/2023 5:31 PM
BAG:iron8s add 66xMảnh hồn bông tai (old: 65) lydo: Nhặt từ map at 04/08/2023 5:31 PM
BAG:iron8s add 67xMảnh hồn bông tai (old: 66) lydo: Nhặt từ map at 04/08/2023 5:31 PM
BAG:iron8s add 68xMảnh hồn bông tai (old: 67) lydo: Nhặt từ map at 04/08/2023 5:31 PM
BAG:iron8s add 69xMảnh hồn bông tai (old: 68) lydo: Nhặt từ map at 04/08/2023 5:31 PM
BAG:iron8s add 70xMảnh hồn bông tai (old: 69) lydo: Nhặt từ map at 04/08/2023 5:31 PM
BAG:iron8s add 71xMảnh hồn bông tai (old: 70) lydo: Nhặt từ map at 04/08/2023 5:31 PM
BAG:iron8s add 72xMảnh hồn bông tai (old: 71) lydo: Nhặt từ map at 04/08/2023 5:31 PM
BAG:iron8s add 73xMảnh hồn bông tai (old: 72) lydo: Nhặt từ map at 04/08/2023 5:31 PM
BAG:iron8s add 14xNgọc Rồng 5 sao (old: 13) lydo: Nhặt từ map at 04/08/2023 5:31 PM
BAG:iron8s add 23xĐá Ruby (old: 22) lydo: Nhặt từ map at 04/08/2023 5:31 PM
BAG:iron8s add 74xMảnh hồn bông tai (old: 73) lydo: Nhặt từ map at 04/08/2023 5:31 PM
BAG:iron8s add 75xMảnh hồn bông tai (old: 74) lydo: Nhặt từ map at 04/08/2023 5:31 PM
BAG:iron8s add 41xĐá Titan (old: 40) lydo: Nhặt từ map at 04/08/2023 5:31 PM
BAG:iron8s add 42xĐá Titan (old: 41) lydo: Nhặt từ map at 04/08/2023 5:31 PM
BAG:iron8s add 76xMảnh hồn bông tai (old: 75) lydo: Nhặt từ map at 04/08/2023 5:31 PM
BAG:iron8s add 24xĐá Ruby (old: 23) lydo: Nhặt từ map at 04/08/2023 5:31 PM
BAG:iron8s add 77xMảnh hồn bông tai (old: 76) lydo: Nhặt từ map at 04/08/2023 5:31 PM
BAG:iron8s add 78xMảnh hồn bông tai (old: 77) lydo: Nhặt từ map at 04/08/2023 5:31 PM
BAG:iron8s add 79xMảnh hồn bông tai (old: 78) lydo: Nhặt từ map at 04/08/2023 5:31 PM
BAG:iron8s add 43xĐá Titan (old: 42) lydo: Nhặt từ map at 04/08/2023 5:31 PM
BAG:iron8s add 80xMảnh hồn bông tai (old: 79) lydo: Nhặt từ map at 04/08/2023 5:32 PM
BAG:iron8s add 81xMảnh hồn bông tai (old: 80) lydo: Nhặt từ map at 04/08/2023 5:32 PM
BAG:iron8s add 82xMảnh hồn bông tai (old: 81) lydo: Nhặt từ map at 04/08/2023 5:32 PM
BAG:iron8s add 83xMảnh hồn bông tai (old: 82) lydo: Nhặt từ map at 04/08/2023 5:32 PM
BAG:iron8s add 84xMảnh hồn bông tai (old: 83) lydo: Nhặt từ map at 04/08/2023 5:32 PM
BAG:iron8s add 85xMảnh hồn bông tai (old: 84) lydo: Nhặt từ map at 04/08/2023 5:32 PM
BAG:iron8s add 86xMảnh hồn bông tai (old: 85) lydo: Nhặt từ map at 04/08/2023 5:32 PM
BAG:iron8s add 87xMảnh hồn bông tai (old: 86) lydo: Nhặt từ map at 04/08/2023 5:32 PM
BAG:iron8s add 88xMảnh hồn bông tai (old: 87) lydo: Nhặt từ map at 04/08/2023 5:32 PM
BAG:iron8s add 89xMảnh hồn bông tai (old: 88) lydo: Nhặt từ map at 04/08/2023 5:32 PM
BAG:iron8s add 90xMảnh hồn bông tai (old: 89) lydo: Nhặt từ map at 04/08/2023 5:32 PM
BAG:iron8s add 12xNgọc Rồng 4 sao (old: 11) lydo: Nhặt từ map at 04/08/2023 5:32 PM
BAG:iron8s add 91xMảnh hồn bông tai (old: 90) lydo: Nhặt từ map at 04/08/2023 5:32 PM
BAG:iron8s add 92xMảnh hồn bông tai (old: 91) lydo: Nhặt từ map at 04/08/2023 5:32 PM
BAG:iron8s add 93xMảnh hồn bông tai (old: 92) lydo: Nhặt từ map at 04/08/2023 5:32 PM
BAG:iron8s add 94xMảnh hồn bông tai (old: 93) lydo: Nhặt từ map at 04/08/2023 5:32 PM
BAG:iron8s add 95xMảnh hồn bông tai (old: 94) lydo: Nhặt từ map at 04/08/2023 5:32 PM
BAG:iron8s add 96xMảnh hồn bông tai (old: 95) lydo: Nhặt từ map at 04/08/2023 5:32 PM
BAG:iron8s add 97xMảnh hồn bông tai (old: 96) lydo: Nhặt từ map at 04/08/2023 5:32 PM
BAG:iron8s add 98xMảnh hồn bông tai (old: 97) lydo: Nhặt từ map at 04/08/2023 5:32 PM
BAG:iron8s add 99xMảnh hồn bông tai (old: 98) lydo: Nhặt từ map at 04/08/2023 5:32 PM
BAG:iron8s add 1xMảnh hồn bông tai lydo: Nhặt từ map at 04/08/2023 5:32 PM
BAG:iron8s add 44xĐá Saphia (old: 43) lydo: Nhặt từ map at 04/08/2023 5:33 PM
BAG:iron8s add 2xMảnh hồn bông tai (old: 1) lydo: Nhặt từ map at 04/08/2023 5:33 PM
BAG:iron8s add 44xĐá Titan (old: 43) lydo: Nhặt từ map at 04/08/2023 5:33 PM
BAG:iron8s add 3xMảnh hồn bông tai (old: 2) lydo: Nhặt từ map at 04/08/2023 5:33 PM
BAG:iron8s add 4xMảnh hồn bông tai (old: 3) lydo: Nhặt từ map at 04/08/2023 5:33 PM
BAG:iron8s add 5xMảnh hồn bông tai (old: 4) lydo: Nhặt từ map at 04/08/2023 5:33 PM
BAG:iron8s add 74xĐá lục bảo (old: 73) lydo: Nhặt từ map at 04/08/2023 5:34 PM
BAG:iron8s add 75xĐá lục bảo (old: 74) lydo: Nhặt từ map at 04/08/2023 5:34 PM
BAG:iron8s add 45xĐá Titan (old: 44) lydo: Nhặt từ map at 04/08/2023 5:34 PM
BAG:iron8s add 46xĐá Titan (old: 45) lydo: Nhặt từ map at 04/08/2023 5:35 PM
BAG:iron8s add 44xĐá thạch anh tím (old: 43) lydo: Nhặt từ map at 04/08/2023 5:35 PM
BAG:iron8s add 22xNgọc Rồng 6 sao (old: 21) lydo: Nhặt từ map at 04/08/2023 5:35 PM
BAG:iron8s add 23xNgọc Rồng 6 sao (old: 22) lydo: Nhặt từ map at 04/08/2023 5:35 PM
